title,youtube,site_page,landing,new_description
יצאתי לבדוק איך 4 סטארטאפים שליווינו ב-WeCcelerate משדרגים לי יום עמוס התוצאות בסרטון 👀👇,https://www.youtube.com/watch?v=TMNg853SW1M,https://weccelerate.co.il/videos/יצאתי-לבדוק-איך-4-סטארטאפים-שליווינו-ב-weccelerate-משדרגים-ל-TMNg853SW1M,startup,"יצאתי לבדוק איך 4 סטארטאפים שליווינו ב-WeCcelerate משדרגים לי יום עמוס התוצאות בסרטון 👀👇

יש לכם רעיון או מיזם? שיחת היכרות חינם עם יועץ מהצוות:
https://weccelerate.co.il/lp/startup?utm_source=youtube&utm_medium=video&utm_campaign=startup-4-weccelerate-tmng853sw1m

WeCcelerate (וויסלרייט): Venture Builder ומאיץ סטארטאפים ישראלי. ליווי מרעיון לסטארטאפ, כולל מסלול MedTech עם לאומית שירותי בריאות.
עוד מדריכים ליזמים: https://weccelerate.co.il/guides"
היתרון של הסטארטאפים הישראליים שמשנה את עולם הטכנולוגיה הביטחונית 🚀,https://www.youtube.com/watch?v=lHRIo1cCgrg,https://weccelerate.co.il/videos/היתרון-של-הסטארטאפים-הישראליים-שמשנה-את-עולם-הטכנולוגיה-הביט-lHRIo1cCgrg,fundraising,"מה הופך את הסטארטאפים בתחום הדיפנס-טק בישראל לבולטים כל כך, ולאן נושבת הרוח של המשקיעים וקרנות ההון-סיכון?

יש לכם רעיון או מיזם? שיחת היכרות חינם עם יועץ מהצוות:
https://weccelerate.co.il/lp/fundraising?utm_source=youtube&utm_medium=video&utm_campaign=fundraising-lhrio1ccgrg

WeCcelerate (וויסלרייט): Venture Builder ומאיץ סטארטאפים ישראלי. ליווי מרעיון לסטארטאפ, כולל מסלול MedTech עם לאומית שירותי בריאות.
עוד מדריכים ליזמים: https://weccelerate.co.il/guides"
"אברהם בערוץ הכלכלה בראיון על מצב הדיפנס-טק הישראלי ודו""ח משרד הביטחון",https://www.youtube.com/watch?v=dvzF4jjUYhQ,https://weccelerate.co.il/videos/אברהם-בערוץ-הכלכלה-בראיון-על-מצב-הדיפנס-טק-הישראלי-ודוח-משרד-dvzF4jjUYhQ,startup,"אברהם בערוץ הכלכלה בראיון על מצב הדיפנס-טק הישראלי ודו""ח משרד הביטחון

יש לכם רעיון או מיזם? שיחת היכרות חינם עם יועץ מהצוות:
https://weccelerate.co.il/lp/startup?utm_source=youtube&utm_medium=video&utm_campaign=startup-dvzf4jjuyhq

WeCcelerate (וויסלרייט): Venture Builder ומאיץ סטארטאפים ישראלי. ליווי מרעיון לסטארטאפ, כולל מסלול MedTech עם לאומית שירותי בריאות.
עוד מדריכים ליזמים: https://weccelerate.co.il/guides"
"אברהם בערוץ הכלכלה בראיון על מצב הדיפנס-טק הישראלי ודו""ח משרד הביטחון",https://www.youtube.com/watch?v=wIx47PkpqeQ,https://weccelerate.co.il/videos/אברהם-בערוץ-הכלכלה-בראיון-על-מצב-הדיפנס-טק-הישראלי-ודוח-משרד-wIx47PkpqeQ,startup,"אברהם בערוץ הכלכלה בראיון על מצב הדיפנס-טק הישראלי ודו""ח משרד הביטחון

יש לכם רעיון או מיזם? שיחת היכרות חינם עם יועץ מהצוות:
https://weccelerate.co.il/lp/startup?utm_source=youtube&utm_medium=video&utm_campaign=startup-wix47pkpqeq

WeCcelerate (וויסלרייט): Venture Builder ומאיץ סטארטאפים ישראלי. ליווי מרעיון לסטארטאפ, כולל מסלול MedTech עם לאומית שירותי בריאות.
עוד מדריכים ליזמים: https://weccelerate.co.il/guides"
פודקאסט פרק בכורה #: למה תל אביב מתנהגת כמו בולען ממגנט ואיך מייצרים באמת משרות בשכר גבוה?,https://www.youtube.com/watch?v=PIzGoL38JuQ,https://weccelerate.co.il/videos/פודקאסט-פרק-בכורה-למה-תל-אביב-מתנהגת-כמו-בולען-ממגנט-ואיך-מי-PIzGoL38JuQ,startup,"אנחנו גאים ונרגשים להשיק את פודקאסט הבכורה שלנו בבירה!

יש לכם רעיון או מיזם? שיחת היכרות חינם עם יועץ מהצוות:
https://weccelerate.co.il/lp/startup?utm_source=youtube&utm_medium=video&utm_campaign=startup-pizgol38juq

WeCcelerate (וויסלרייט): Venture Builder ומאיץ סטארטאפים ישראלי. ליווי מרעיון לסטארטאפ, כולל מסלול MedTech עם לאומית שירותי בריאות.
עוד מדריכים ליזמים: https://weccelerate.co.il/guides"
פודקאסט #3: מרישום פטנט באוניברסיטה ועד לרעיון לפרוץ את מחסום דם המוח,https://www.youtube.com/watch?v=BYcqZ7KpiiI,https://weccelerate.co.il/videos/פודקאסט-3-מרישום-פטנט-באוניברסיטה-ועד-לרעיון-לפרוץ-את-מחסום--BYcqZ7KpiiI,startup,"אנחנו גאים ונרגשים להמשיך את סדרת הפודקאסטים החדשה שלנו ״בירה בבירה״!

יש לכם רעיון או מיזם? שיחת היכרות חינם עם יועץ מהצוות:
https://weccelerate.co.il/lp/startup?utm_source=youtube&utm_medium=video&utm_campaign=startup-3-bycqz7kpiii

WeCcelerate (וויסלרייט): Venture Builder ומאיץ סטארטאפים ישראלי. ליווי מרעיון לסטארטאפ, כולל מסלול MedTech עם לאומית שירותי בריאות.
עוד מדריכים ליזמים: https://weccelerate.co.il/guides"
מרישום פטנט באוניברסיטה ועד לרעיון לפרוץ את מחסום דם המוח,https://www.youtube.com/watch?v=253Cv3ugK3s,https://weccelerate.co.il/videos/מרישום-פטנט-באוניברסיטה-ועד-לרעיון-לפרוץ-את-מחסום-דם-המוח-253Cv3ugK3s,medtech,"היום ב-18:00 בדיוק: הפרק החדש של ״בירה בבירה״ עולה לאוויר!

יש לכם רעיון או מיזם? שיחת היכרות חינם עם יועץ מהצוות:
https://weccelerate.co.il/lp/medtech?utm_source=youtube&utm_medium=video&utm_campaign=medtech-253cv3ugk3s

WeCcelerate (וויסלרייט): Venture Builder ומאיץ סטארטאפים ישראלי. ליווי מרעיון לסטארטאפ, כולל מסלול MedTech עם לאומית שירותי בריאות.
עוד מדריכים ליזמים: https://weccelerate.co.il/guides"
פודקאסט #2: ״אני עושה את זה כדי לעשות לכם הרבה כסף״ 💼💰,https://www.youtube.com/watch?v=LcE6ys--zDk,https://weccelerate.co.il/videos/פודקאסט-2-״אני-עושה-את-זה-כדי-לעשות-לכם-הרבה-כסף״-LcE6ys--zDk,fundraising,"פרק חדש בפודקאסט החדש שלנו, ״בירה בבירה״!

יש לכם רעיון או מיזם? שיחת היכרות חינם עם יועץ מהצוות:
https://weccelerate.co.il/lp/fundraising?utm_source=youtube&utm_medium=video&utm_campaign=fundraising-2-lce6ys-zdk

WeCcelerate (וויסלרייט): Venture Builder ומאיץ סטארטאפים ישראלי. ליווי מרעיון לסטארטאפ, כולל מסלול MedTech עם לאומית שירותי בריאות.
עוד מדריכים ליזמים: https://weccelerate.co.il/guides"
״אני עושה את זה כדי לעשות לכם הרבה כסף״ 💼💰,https://www.youtube.com/watch?v=gqVjuWU0mjY,https://weccelerate.co.il/videos/״אני-עושה-את-זה-כדי-לעשות-לכם-הרבה-כסף״-gqVjuWU0mjY,fundraising,"טיזר מתוך הפודקאסט שלנו, ״בירה בבירה״ אלון מארח את בן ווינר לשיחה צפופה ובלי פילטרים.

יש לכם רעיון או מיזם? שיחת היכרות חינם עם יועץ מהצוות:
https://weccelerate.co.il/lp/fundraising?utm_source=youtube&utm_medium=video&utm_campaign=fundraising-gqvjuwu0mjy

WeCcelerate (וויסלרייט): Venture Builder ומאיץ סטארטאפים ישראלי. ליווי מרעיון לסטארטאפ, כולל מסלול MedTech עם לאומית שירותי בריאות.
עוד מדריכים ליזמים: https://weccelerate.co.il/guides"
הליווי שלנו ב-WeCelerate לא נמדד רק בתוכניות עבודה,https://www.youtube.com/watch?v=DZR5y1rZU68,https://weccelerate.co.il/videos/הליווי-שלנו-ב-wecelerate-לא-נמדד-רק-בתוכניות-עבודה-DZR5y1rZU68,startup,"הוא נמדד ביחס האישי, במשפחתיות ובדאגה האמיתית לכל יזם שנכנס אלינו בדלת.

יש לכם רעיון או מיזם? שיחת היכרות חינם עם יועץ מהצוות:
https://weccelerate.co.il/lp/startup?utm_source=youtube&utm_medium=video&utm_campaign=startup-wecelerate-dzr5y1rzu68

WeCcelerate (וויסלרייט): Venture Builder ומאיץ סטארטאפים ישראלי. ליווי מרעיון לסטארטאפ, כולל מסלול MedTech עם לאומית שירותי בריאות.
עוד מדריכים ליזמים: https://weccelerate.co.il/guides"
